Transferability,Adaptability,Does the application adapt to all hardware,software ?
Transferability,Adaptability,Does the application adapt to all software platform ?
Transferability,Adaptability,Does the application adapt  to all standard language?
Transferability,Adaptability,Are concurrent users are able to access the software?
Transferability,Adaptability,Does the technology exist to develop all elements of the system?
Transferability,Adaptability,Does the system rely on proven technologies?
Transferability,Adaptability,Are function and performance assured?
Transferability,Adaptability,Can the configuration be adequately maintained?
Transferability,Adaptability,What is the risk associated with the Adaptability?
Transferability,Adaptability,Does a failure of adaption on every field cause a sensible user error message?
Transferability,Adaptability,Is the system  required to add any component in order to adapt to a new software?
Transferability,Adaptability,Have any product got  adaptation  rules and if so are all rules being applied?	"
Transferability,Adaptability,Have all the dependices been put in the developing software in order to adapt in all environments?
Transferability,Adaptability,External and internal  memory are provided  properly using memoy management ?
Transferability,Adaptability,Does the application using the common communication channel to improve adaptability?
Transferability,Adaptability,Is it easy to translate the product without having any ambiguity?
Transferability,Adaptability,Does the application provide the basic information about the software parameters required to adaptation?
Transferability,Installability,Does the application is opensource or lincesed ?
Transferability,Installability,Does the application is able to install in all environment?
Transferability,Installability,Is it compatible to 32bit and 64 bit ?
Transferability,Installability,Does the  application meet the all the browser requirements?
Transferability,Installability,Does the  application meet the all the operating system requirements?
Transferability,Installability,Does the application meet all the memory and RAM requirements?
Transferability,Installability,Have all the installtion procedures been correctly stated and understood ?
Transferability,Installability,Have all the uninstalltion procedures been correctly stated and understood ?
Transferability,Installability,Is the application requires to access from Admin while  installing and uninstalling?
Transferability,Installability,Have all the basic and secondary requirements been correctly presented prior to installing and unstalling ?"
Transferability,Installability,What is the current Service Level Objectives (SLO) that you have set for your IT infrastructure?"
Transferability,Installability,What do you measure and track the installtion time? (This would help us structure Service Levels for you with your business IT users)"
Transferability,Installability,Do you have your installtion components covered under a product / service warranty or Hardware contracts?"
Transferability,Installability,Does your organization have a installion  plan or sites / organization from an IT perspective?
Transferability,Installability,Are there currently any single point of installion  failures in your IT infrastructure,with respect to the service levels and uptime expectations? "
